Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0805_2012Metric",39.500000,-66.300000,270.000000,top
"C2","100n","C_0805_2012Metric",45.000000,-68.650000,180.000000,top
"C3","100n","C_0805_2012Metric",35.500000,-44.600000,270.000000,top
"C4","100n","C_0805_2012Metric",45.200000,-60.500000,180.000000,top
"C5","1u","C_0805_2012Metric",37.800000,-77.500000,90.000000,top
"C6","1u","C_0805_2012Metric",37.800000,-81.300000,270.000000,top
"C7","1u","C_0805_2012Metric",37.800000,-88.900000,270.000000,top
"C8","100n","C_0805_2012Metric",55.100000,-87.000000,180.000000,top
"C9","33u","CP_Elec_6.3x7.7",47.000000,-47.000000,90.000000,top
"C10","10u","C_0805_2012Metric",40.600000,-49.600000,180.000000,top
"C11","100n","C_0805_2012Metric",46.300000,-97.100000,90.000000,top
"C12","220u","CP_Elec_6.3x5.4",62.000000,-51.000000,0.000000,top
"C13","220u","CP_Elec_6.3x5.4",54.000000,-58.200000,0.000000,top
"C14","220u","CP_Elec_6.3x5.4",54.000000,-67.000000,270.000000,top
"C15","1u","C_0805_2012Metric",42.400000,-88.600000,270.000000,top
"C16","1u","C_0805_2012Metric",44.400000,-88.600000,270.000000,top
"C17","1u","C_0805_2012Metric",46.400000,-88.600000,270.000000,top
"D1","LED","LED_0805_2012Metric",58.000000,-45.000000,180.000000,top
"FB1","Ferrite_Bead_Small","C_0805_2012Metric",32.000000,-43.500000,0.000000,top
"J1","USB_C_Receptacle_Power","USB_C_Receptacle_Generic_Power_Only",18.400000,-47.600000,90.000000,top
"R1","75","R_0805_2012Metric",39.500000,-62.300000,90.000000,top
"R2","5k1","R_0805_2012Metric",29.600000,-46.200000,180.000000,top
"R3","5k1","R_0805_2012Metric",29.600000,-48.200000,180.000000,top
"R4","680k","R_0805_2012Metric",45.000000,-70.700000,180.000000,top
"R5","1k","R_0805_2012Metric",33.900000,-56.000000,180.000000,top
"R6","75","R_0805_2012Metric",37.800000,-73.700000,90.000000,top
"R7","75","R_0805_2012Metric",37.800000,-85.100000,270.000000,top
"R8","1k","R_0805_2012Metric",40.600000,-47.600000,180.000000,top
"R9","1k3","R_0805_2012Metric",36.800000,-47.600000,180.000000,top
"R10","75","R_0805_2012Metric",37.800000,-92.700000,270.000000,top
"R11","3k3","R_0805_2012Metric",49.700000,-74.800000,180.000000,top
"R12","75","R_0805_2012Metric",46.900000,-73.900000,270.000000,top
"R13","75","R_0805_2012Metric",52.700000,-73.900000,270.000000,top
"R14","75","R_0805_2012Metric",54.900000,-73.900000,270.000000,top
"R15","180","R_0805_2012Metric",49.300000,-91.700000,0.000000,top
"R16","180","R_0805_2012Metric",49.300000,-87.700000,0.000000,top
"R17","180","R_0805_2012Metric",49.300000,-89.700000,0.000000,top
"R18","75","R_0805_2012Metric",42.400000,-92.000000,270.000000,top
"R19","75","R_0805_2012Metric",44.400000,-92.000000,270.000000,top
"R20","75","R_0805_2012Metric",46.400000,-92.000000,270.000000,top
"R21","1k","R_0805_2012Metric",53.700000,-89.000000,0.000000,top
"R22","1k","R_0805_2012Metric",53.590000,-45.000000,0.000000,top
"U1","LM1881","SOIC-8_3.9x4.9mm_P1.27mm",45.000000,-64.900000,0.000000,top
"U2","74AHCT1G86","SOT-23-5",33.900000,-53.000000,0.000000,top
"U3","74AHCT1G86","SOT-23-5",37.900000,-53.000000,0.000000,top
"U4","SC6206B-65K5","SOT-23",38.746000,-44.642000,90.000000,top
"U5","CXA2075","SO-24_5.3x15mm_P1.27mm",49.000000,-81.100000,90.000000,top
"U6","TPF144-VR","MSOP-10_3x3mm_P0.5mm",43.400000,-97.100000,90.000000,top
"X1","O32253579545MHEA4SI","Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm",54.100000,-92.800000,90.000000,top
