Comment,Designator,Footprint,LCSC,Quantity
Ferrite_Bead_Small,"FB1,FB2",C_0805_2012Metric,C1017,2
33u,C9,CP_Elec_6.3x7.7,C127970,1
10u,C10,C_0805_2012Metric,C15850,1
1k,"R21,R22,R5",R_0805_2012Metric,C17513,3
680k,R4,R_0805_2012Metric,C17797,1
75,"R1,R10,R12,R13,R14,R18,R19,R20,R6,R7",R_0805_2012Metric,C17820,10
180,"R15,R16,R17",R_0805_2012Metric,C25270,3
3k3,R11,R_0805_2012Metric,C26010,1
THS7374,U4,TSSOP-14_4.4x5mm_P0.65mm,C2652746,1
5k1,"R2,R3",R_0805_2012Metric,C27834,2
1u,"C15,C16,C17,C5,C6,C7",C_0805_2012Metric,C28323,6
S5D3.579545A20F30T,X1,Oscillator_SMD_EuroQuartz_XO53-4Pin_5.0x3.2mm,C2838127,1
LED,D1,LED_0805_2012Metric,C34499,1
74AHCT1G86,"U2,U3",SOT-23-5,C43417,2
100n,"C1,C11,C2,C3,C4,C8",C_0805_2012Metric,C49678,6
LM1881,U1,SOIC-8_3.9x4.9mm_P1.27mm,C518922,1
SCART_CONN,J3,SCART_CONN,,1
USB_C_Receptacle_Power,J1,USB_C_Receptacle_Generic_Power_Only,,1
VGA,J2,VGA_CONN,,1
Conn_Coaxial,JR1,Cheapo_RCA_single_edge,,1
Conn_Coaxial,JU1,Cheapo_RCA_single_edge,,1
Fiducial,GOTE1,uwuriel,,1
Mini-DIN-4,J4,CUI_MD-40SM,,1
Conn_Coaxial,JR2,Cheapo_RCA_single_edge,,1
CXA2075,U5,SO-24_5.3x15mm_P1.27mm,,1
Jumper_3_Bridged12,JP1,SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm,,1
220u,C14,CP_Elec_6.3x5.4,,1
220u,C12,CP_Elec_6.3x5.4,,1
220u,C13,CP_Elec_6.3x5.4,,1
