Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,39.5,-66.3,-90.0,top
C10,10u,C_0805_2012Metric,47.0,-48.65,-90.0,top
C11,100n,C_0805_2012Metric,48.1,-98.1,90.0,top
C12,220u,CP_Elec_6.3x5.4,62.0,-51.0,0.0,top
C13,220u,CP_Elec_6.3x5.4,54.0,-58.2,0.0,top
C14,220u,CP_Elec_6.3x5.4,54.0,-67.0,-90.0,top
C15,1u,C_0805_2012Metric,42.4,-88.6,-90.0,top
C16,1u,C_0805_2012Metric,44.4,-88.6,-90.0,top
C17,1u,C_0805_2012Metric,46.4,-88.6,-90.0,top
C2,100n,C_0805_2012Metric,45.0,-68.65,180.0,top
C3,100n,C_0805_2012Metric,35.5,-44.6,-90.0,top
C4,100n,C_0805_2012Metric,45.2,-60.5,180.0,top
C5,1u,C_0805_2012Metric,37.8,-77.5,90.0,top
C6,1u,C_0805_2012Metric,37.8,-81.3,-90.0,top
C7,1u,C_0805_2012Metric,37.8,-88.9,-90.0,top
C8,100n,C_0805_2012Metric,55.1,-87.0,180.0,top
C9,33u,CP_Elec_6.3x7.7,41.2,-46.9,-90.0,top
D1,LED,LED_0805_2012Metric,58.0,-45.0,180.0,top
FB1,Ferrite_Bead_Small,C_0805_2012Metric,32.0,-43.5,0.0,top
FB2,Ferrite_Bead_Small,C_0805_2012Metric,47.0,-45.1,-90.0,top
GOTE1,Fiducial,uwuriel,35.2,-105.4,0.0,top
J1,USB_C_Receptacle_Power,USB_C_Receptacle_Generic_Power_Only,22.9,-47.6,90.0,top
J2,VGA,VGA_CONN,24.6,-74.12,-90.0,top
J3,SCART_CONN,SCART_CONN,30.39,-81.135,-90.0,top
J4,Mini-DIN-4,CUI_MD-40SM,63.848,-76.6,-90.0,top
JR1,Conn_Coaxial,Cheapo_RCA_single_edge,64.825,-90.6,-90.0,top
JR2,Conn_Coaxial,Cheapo_RCA_single_edge,65.025,-60.8,-90.0,top
JU1,Conn_Coaxial,Cheapo_RCA_single_edge,64.825,-103.62,-90.0,top
R1,75,R_0805_2012Metric,39.5,-62.3,90.0,top
R10,75,R_0805_2012Metric,37.8,-92.7,-90.0,top
R11,3k3,R_0805_2012Metric,49.7,-74.8,180.0,top
R12,75,R_0805_2012Metric,46.9,-73.9,-90.0,top
R13,75,R_0805_2012Metric,52.7,-73.9,-90.0,top
R14,75,R_0805_2012Metric,54.9,-73.9,-90.0,top
R15,180,R_0805_2012Metric,49.3,-91.7,0.0,top
R16,180,R_0805_2012Metric,49.3,-87.7,0.0,top
R17,180,R_0805_2012Metric,49.3,-89.7,0.0,top
R18,75,R_0805_2012Metric,42.4,-92.0,-90.0,top
R19,75,R_0805_2012Metric,44.4,-92.0,-90.0,top
R2,5k1,R_0805_2012Metric,29.6,-46.2,180.0,top
R20,75,R_0805_2012Metric,46.4,-92.0,-90.0,top
R21,1k,R_0805_2012Metric,53.7,-89.0,0.0,top
R22,1k,R_0805_2012Metric,53.59,-45.0,0.0,top
R3,5k1,R_0805_2012Metric,29.6,-48.2,180.0,top
R4,680k,R_0805_2012Metric,45.0,-70.7,180.0,top
R5,1k,R_0805_2012Metric,33.9,-56.0,180.0,top
R6,75,R_0805_2012Metric,37.8,-73.7,90.0,top
R7,75,R_0805_2012Metric,37.8,-85.1,-90.0,top
U1,LM1881,SOIC-8_3.9x4.9mm_P1.27mm,45.0,-64.9,0.0,top
U2,74AHCT1G86,SOT-23-5,33.9,-53.0,0.0,top
U3,74AHCT1G86,SOT-23-5,37.9,-53.0,0.0,top
U4,THS7374,TSSOP-14_4.4x5mm_P0.65mm,44.3,-98.15,90.0,top
U5,CXA2075,SO-24_5.3x15mm_P1.27mm,49.0,-81.1,90.0,top
X1,S5D3.579545A20F30T,Oscillator_SMD_EuroQuartz_XO53-4Pin_5.0x3.2mm,55.88,-93.98,90.0,top
