Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C2, C3, C4, C8",0805,6,100n,C49678
C10,0805,1,10u,C15850
"C12, C13, C14",CP_Elec_6.3x5.4,3,220u,NOT FITTED
"C15, C16, C17, C5, C6, C7",0805,6,1u,C28323
C9,CP_Elec_6.3x7.7,1,33u,C127970
D1,0805,1,LED,C34499
"FB1, FB2",0805,2,Ferrite_Bead_Small,C1017
GOTE1,uwuriel,1,Fiducial,NOT FITTED
J1,USB_C_Receptacle_Generic_Power_Only,1,USB_C_Receptacle_Power,NOT FITTED
J2,VGA_CONN,1,VGA,NOT FITTED
J3,SCART_CONN,1,SCART_CONN,NOT FITTED
J4,CUI_MD-40SM,1,Mini-DIN-4,NOT FITTED
JP1,SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm,1,Jumper_3_Bridged12,NOT FITTED
"JR1, JR2, JU1",Cheapo_RCA_single_edge,3,Conn_Coaxial,NOT FITTED
"R1, R10, R12, R13, R14, R18, R19, R20, R6, R7",0805,10,75,C17820
R11,0805,1,3k3,C26010
"R15, R16, R17",0805,3,180,C25270
"R2, R3",0805,2,5k1,C27834
"R21, R22, R5",0805,3,1k,C17513
R4,0805,1,680k,C17797
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,LM1881,C518922
"U2, U3",SOT-23-5,2,74AHCT1G86,C43417
U4,TSSOP-14_4.4x5mm_P0.65mm,1,THS7374,C2652746
U5,SO-24_5.3x15mm_P1.27mm,1,CXA2075,NOT FITTED
X1,Oscillator_SMD_EuroQuartz_XO53-4Pin_5.0x3.2mm,1,S5D3.579545A20F30T,C2838127
