Comment,Designator,Footprint,LCSC, LCSC
"10u","C10","Capacitor_SMD:C_0805_2012Metric","","C15850"
"220u","C14,C13,C12","Capacitor_SMD:CP_Elec_6.3x5.4","","NOT FITTED"
"100n","C3,C4,C8,C1,C2,C11","Capacitor_SMD:C_0805_2012Metric","","C49678"
"1u","C5,C6,C7,C15,C16,C17","Capacitor_SMD:C_0805_2012Metric","","C28323"
"33u","C9","Capacitor_SMD:CP_Elec_6.3x7.7","","C127970"
"LED","D1","LED_SMD:LED_0805_2012Metric","","C34499"
"Ferrite_Bead_Small","FB1","Capacitor_SMD:C_0805_2012Metric","","C1017"
"Fiducial","GOTE1","videobits:uwuriel","","NOT FITTED"
"USB_C_Receptacle_Power","J1","videobits:USB_C_Receptacle_Generic_Power_Only","","NOT FITTED"
"VGA","J2","custom_components:VGA_CONN","","NOT FITTED"
"SCART_CONN","J3","custom_components:SCART_CONN","","NOT FITTED"
"Mini-DIN-4","J4","videobits:CUI_MD-40SM","","NOT FITTED"
"Jumper_3_Bridged12","JP1","Jumper:SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm","","NOT FITTED"
"Conn_Coaxial","JR1,JU1,JR2","videobits:Cheapo_RCA_single_edge","","NOT FITTED"
"75","R10,R1,R14,R13,R12,R7,R6,R20,R19,R18","Resistor_SMD:R_0805_2012Metric","","C20638"
"3k3","R11","Resistor_SMD:R_0805_2012Metric","","C26010"
"180","R17,R16,R15","Resistor_SMD:R_0805_2012Metric","","C25270"
"5k1","R3,R2","Resistor_SMD:R_0805_2012Metric","","C27834"
"680k","R4","Resistor_SMD:R_0805_2012Metric","","C17797"
"1k","R8,R5,R21,R22","Resistor_SMD:R_0805_2012Metric","","C17513"
"1k3","R9","Resistor_SMD:R_0805_2012Metric","","C17384"
"LM1881","U1","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","NOT FITTED"
"74AHCT1G86","U2,U3","Package_TO_SOT_SMD:SOT-23-5","","C43417"
"SC6206B-65K5","U4","Package_TO_SOT_SMD:SOT-23","","C88294"
"CXA2075","U5","Package_SO:SO-24_5.3x15mm_P1.27mm","","NOT FITTED"
"TPF144-VR","U6","Package_SO:MSOP-10_3x3mm_P0.5mm","","C155447"
"O32253579545MHEA4SI","X1","Oscillator:Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm","","C70606"
